MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x65D,0,,,
0x65E,0,,,
0x660,0,,,
0x661,0,,,
0x662,0,,,
0x664,65535,,,
0x665,65535,,,
0x666,-1,,,
0x668,65535,,,
0x669,65535,,,
0x66A,-1,,,
0x66C,65535,,,
0x66D,65535,,,
0x66E,-1,,,
0x670,65535,,,
0x671,65535,,,
0x672,-1,,,
0x674,65535,,,
0x675,65535,,,
0x676,-1,,,
0x678,0,,,
0x679,0,,,
0x67A,0,,,
0x67B,65535,,,
0x67C,0,,,
0x67D,65535,,,
0x67E,65535,,,
0x67F,65535,,,
0x680,65535,,,
0x681,65535,,,
0x682,65535,,,
0x683,65535,,,
0x684,65535,,,
0x685,65535,,,
0x686,65535,,,
0x687,65535,,,
0x688,65535,,,
0x689,65535,,,
0x68A,65535,,,
0x68B,65535,,,
0x68C,65535,,,
0x68D,65535,,,
0x68E,65535,,,
0x68F,0,,,
0x690,50,,,
0x691,50,,,
0x692,600,,,
0x694,500,,,
0x695,65535,,,
0x696,60,,,
0x697,50,,,
0x698,-1,,,
0x69A,200,,,
0x69B,65535,,,
0x69C,70,,,
0x69D,50,,,
0x69E,-1,,,
0x6A0,150,,,
0x6A1,65535,,,
0x6A2,80,,,
0x6A3,50,,,
0x6A4,-1,,,
0x6A6,100,,,
0x6A7,65535,,,
0x6A8,0,,,
0x6A9,0,,,
0x6AA,-1,,,
0x6AC,0,,,
0x6AD,65535,,,
0x6AE,0,,,
0x6AF,0,,,
0x6B0,-1,,,
0x6B2,0,,,
0x6B3,65535,,,
0x6B4,65535,,,
0x6B5,65535,,,
0x6B6,-1,,,
0x6B8,65535,,,
0x6B9,65535,,,
0x6BA,65535,,,
0x6BB,65535,,,
0x6BC,-1,,,
0x6BE,65535,,,
0x6BF,65535,,,
0x6C0,65535,,,
0x6C1,65535,,,
0x6C2,-1,,,
0x6C4,65535,,,
0x6C5,65535,,,
0x6C6,65535,,,
0x6C7,65535,,,
0x6C8,-1,,,
0x6CA,65535,,,
0x6CB,65535,,,
0x6CC,65535,,,
0x6CD,65535,,,
0x6CE,0,,,
0x6CF,65535,,,
0x6D0,0,,,
0x6D1,0,,,
0x6D2,0,,,
0x6D3,65535,,,
0x6D4,0,,,
0x6D5,65535,,,
0x6D6,0,,,
0x6D7,0,,,
0x6D8,65535,,,
0x6D9,0,,,
0x6DA,0,,,
0x6DB,65535,,,
0x6DC,65535,,,
0x6DD,65535,,,
0x6DE,65535,,,
0x6DF,65535,,,
0x6E0,65535,,,
0x6E1,65535,,,
0x6E2,-1,,,
0x6E4,65535,,,
0x6E5,65535,,,
0x6E6,65535,,,
0x6E7,65535,,,
0x6E8,65535,,,
0x6E9,65535,,,
0x6EA,65535,,,
0x6EB,65535,,,
0x6EC,65535,,,
0x6ED,65535,,,
0x6EE,65535,,,
0x6EF,65535,,,
0x6F0,0,,,
0x6F1,0,,,
0x6F2,0,,,
0x6F3,65535,,,
0x6F4,0,,,
0x6F5,65535,,,
0x6F6,-1,,,
0x6F8,65535,,,
0x6F9,65535,,,
0x6FA,65535,,,
0x6FB,0,,,
0x6FC,0,,,
0x6FD,0,,,
0x6FE,0,,,
0x6FF,65535,,,
0x700,2500,,,
0x701,0,,,
0x702,0,,,
0x703,0,,,
0x704,0,,,
0x705,0,,,
0x706,0,,,
0x707,65535,,,
0x708,65535,,,
0x709,65535,,,
0x70A,65535,,,
0x70B,65535,,,
0x70C,65535,,,
0x70D,65535,,,
0x70E,65535,,,
0x70F,65535,,,
0x710,30,,,
0x711,30,,,
0x712,0,,,
0x713,30,,,
0x714,20,,,
0x715,0,,,
0x716,65535,,,
0x717,0,,,
0x718,30,,,
0x719,30,,,
0x71A,0,,,
0x71B,0,,,
0x71C,0,,,
0x71D,0,,,
0x71E,65535,,,
0x71F,65535,,,
0x720,65535,,,
0x721,65535,,,
0x722,65535,,,
0x723,65535,,,
0x724,65535,,,
0x725,65535,,,
0x726,65535,,,
0x727,65535,,,
0x728,65535,,,
0x729,65535,,,
0x72A,65535,,,
0x72B,65535,,,
0x72C,65535,,,
0x72D,65535,,,
0x72E,65535,,,
0x72F,65535,,,
0x730,70,,,
0x731,35,,,
0x732,500,,,
0x733,70,,,
0x734,50,,,
0x735,1000,,,
0x736,70,,,
0x737,40,,,
0x738,2000,,,
0x739,50,,,
0x73A,50,,,
0x73B,3000,,,
0x73C,50,,,
0x73D,30,,,
0x73E,4000,,,
0x73F,0,,,
0x740,65535,,,
0x741,65535,,,
0x742,65535,,,
0x743,0,,,
0x744,0,,,
0x745,65535,,,
0x746,65535,,,
0x747,0,,,
0x748,0,,,
0x749,65535,,,
0x74A,65535,,,
0x74B,65535,,,
0x74C,65535,,,
0x74D,65535,,,
0x74E,65535,,,
0x74F,65535,,,
0x750,65535,,,
0x751,65535,,,
0x752,65535,,,
0x753,65535,,,
