NO.,Code,ShotCnt,AlarmDescription,StartTime,ResetTime
 ,5923,1,ERR_0F_TEMPERR,4/2/2019 9:42:51,4/2/2019 9:43:42
 ,5920,1,ERR_0F_TEMPERR,4/2/2019 9:42:50,4/2/2019 9:43:42
 ,5919,1,ERR_0F_TEMPERR,4/2/2019 9:42:50,4/2/2019 9:43:41
 ,5918,1,ERR_0F_TEMPERR,4/2/2019 9:42:50,4/2/2019 9:43:41
 ,5917,1,ERR_0F_TEMPERR,4/2/2019 9:42:49,4/2/2019 9:43:40
 ,5916,1,ERR_0F_TEMPERR,4/2/2019 9:42:49,4/2/2019 9:43:40
 ,5915,1,ERR_0F_TEMPERR,4/2/2019 9:42:49,4/2/2019 9:43:40
 ,5912,1,ERR_0F_TEMPERR,4/2/2019 9:42:45,4/2/2019 9:43:39
 ,5911,1,ERR_0F_TEMPERR,4/2/2019 9:42:45,4/2/2019 9:43:39
 ,5910,1,ERR_0F_TEMPERR,4/2/2019 9:42:44,4/2/2019 9:43:38
 ,5909,1,ERR_0F_TEMPERR,4/2/2019 9:42:44,4/2/2019 9:43:38
 ,5908,1,ERR_0F_TEMPERR,4/2/2019 9:42:44,4/2/2019 9:43:38
 ,5907,1,ERR_0F_TEMPERR,4/2/2019 9:42:43,4/2/2019 9:43:37
 ,5904,1,ERR_0F_TEMPERR,4/2/2019 9:42:43,4/2/2019 9:43:37
 ,5903,1,ERR_0F_TEMPERR,4/2/2019 9:42:43,4/2/2019 9:43:36
 ,5902,1,ERR_0F_TEMPERR,4/2/2019 9:42:43,4/2/2019 9:43:36
 ,5901,1,ERR_0F_TEMPERR,4/2/2019 9:42:42,4/2/2019 9:43:35
 ,5900,1,ERR_0F_TEMPERR,4/2/2019 9:42:42,4/2/2019 9:43:35
 ,5900,1,ERR_0F_TEMPERR,4/2/2019 9:42:17,4/2/2019 9:42:18
 ,6024,1,ERR_0F_TEMPERR,4/2/2019 9:41:35,4/2/2019 9:42:16
 ,6362,1,ERR_0F_TEMPERR,4/2/2019 9:41:35,4/2/2019 9:42:16
 ,6022,1,ERR_0F_TEMPERR,4/2/2019 9:41:35,4/2/2019 9:42:15
 ,6021,1,ERR_0F_TEMPERR,4/2/2019 9:41:35,4/2/2019 9:42:15
 ,6019,1,ERR_0F_TEMPERR,4/2/2019 9:41:34,4/2/2019 9:42:15
 ,6018,1,ERR_0F_TEMPERR,4/2/2019 9:41:34,4/2/2019 9:42:14
 ,6017,1,ERR_0F_TEMPERR,4/2/2019 9:41:34,4/2/2019 9:42:14
 ,6016,1,ERR_0F_TEMPERR,4/2/2019 9:41:34,4/2/2019 9:42:13
 ,6015,1,ERR_0F_TEMPERR,4/2/2019 9:41:33,4/2/2019 9:42:13
 ,6014,1,ERR_0F_TEMPERR,4/2/2019 9:41:33,4/2/2019 9:42:13
 ,6013,1,ERR_0F_TEMPERR,4/2/2019 9:41:33,4/2/2019 9:42:12
 ,6012,1,ERR_0F_TEMPERR,4/2/2019 9:41:32,4/2/2019 9:42:12
 ,6011,1,ERR_0F_TEMPERR,4/2/2019 9:41:32,4/2/2019 9:42:11
 ,6008,1,ERR_0F_TEMPERR,4/2/2019 9:41:28,4/2/2019 9:42:11
 ,6007,1,ERR_0F_TEMPERR,4/2/2019 9:41:28,4/2/2019 9:42:11
 ,6005,1,ERR_0F_TEMPERR,4/2/2019 9:41:27,4/2/2019 9:42:10
 ,6004,1,ERR_0F_TEMPERR,4/2/2019 9:41:27,4/2/2019 9:42:10
 ,6002,1,ERR_0F_TEMPERR,4/2/2019 9:41:27,4/2/2019 9:42:9
 ,6001,1,ERR_0F_TEMPERR,4/2/2019 9:41:27,4/2/2019 9:42:9
 ,6000,1,ERR_0F_TEMPERR,4/2/2019 9:41:26,4/2/2019 9:42:9
 ,5999,1,ERR_0F_TEMPERR,4/2/2019 9:41:26,4/2/2019 9:42:8
 ,5998,1,ERR_0F_TEMPERR,4/2/2019 9:41:26,4/2/2019 9:42:8
 ,5997,1,ERR_0F_TEMPERR,4/2/2019 9:41:26,4/2/2019 9:42:7
 ,5996,1,ERR_0F_TEMPERR,4/2/2019 9:41:25,4/2/2019 9:42:7
 ,5995,1,ERR_0F_TEMPERR,4/2/2019 9:41:25,4/2/2019 9:42:7
 ,5992,1,ERR_0F_TEMPERR,4/2/2019 9:41:21,4/2/2019 9:42:6
 ,5991,1,ERR_0F_TEMPERR,4/2/2019 9:41:21,4/2/2019 9:42:6
 ,5990,1,ERR_0F_TEMPERR,4/2/2019 9:41:21,4/2/2019 9:42:5
 ,5989,1,ERR_0F_TEMPERR,4/2/2019 9:41:20,4/2/2019 9:42:5
 ,5988,1,ERR_0F_TEMPERR,4/2/2019 9:41:20,4/2/2019 9:42:5
 ,5986,1,ERR_0F_TEMPERR,4/2/2019 9:41:20,4/2/2019 9:42:4
 ,5984,1,ERR_0F_TEMPERR,4/2/2019 9:41:20,4/2/2019 9:42:4
 ,5983,1,ERR_0F_TEMPERR,4/2/2019 9:41:19,4/2/2019 9:42:3
 ,5982,1,ERR_0F_TEMPERR,4/2/2019 9:41:19,4/2/2019 9:42:3
 ,5981,1,ERR_0F_TEMPERR,4/2/2019 9:41:19,4/2/2019 9:42:3
 ,5980,1,ERR_0F_TEMPERR,4/2/2019 9:41:19,4/2/2019 9:42:2
 ,5979,1,ERR_0F_TEMPERR,4/2/2019 9:41:18,4/2/2019 9:42:2
 ,5976,1,ERR_0F_TEMPERR,4/2/2019 9:41:14,4/2/2019 9:42:1
 ,5975,1,ERR_0F_TEMPERR,4/2/2019 9:41:14,4/2/2019 9:42:1
 ,5974,1,ERR_0F_TEMPERR,4/2/2019 9:41:14,4/2/2019 9:42:1
 ,5973,1,ERR_0F_TEMPERR,4/2/2019 9:41:14,4/2/2019 9:42:0
 ,5971,1,ERR_0F_TEMPERR,4/2/2019 9:41:13,4/2/2019 9:42:0
 ,5970,1,ERR_0F_TEMPERR,4/2/2019 9:41:13,4/2/2019 9:41:59
 ,5969,1,ERR_0F_TEMPERR,4/2/2019 9:41:13,4/2/2019 9:41:59
 ,5968,1,ERR_0F_TEMPERR,4/2/2019 9:41:12,4/2/2019 9:41:59
 ,5967,1,ERR_0F_TEMPERR,4/2/2019 9:41:12,4/2/2019 9:41:58
 ,5966,1,ERR_0F_TEMPERR,4/2/2019 9:41:12,4/2/2019 9:41:58
 ,5965,1,ERR_0F_TEMPERR,4/2/2019 9:41:12,4/2/2019 9:41:57
 ,5964,1,ERR_0F_TEMPERR,4/2/2019 9:41:11,4/2/2019 9:41:57
 ,5963,1,ERR_0F_TEMPERR,4/2/2019 9:41:11,4/2/2019 9:41:57
 ,5960,1,ERR_0F_TEMPERR,4/2/2019 9:41:8,4/2/2019 9:41:56
 ,5959,1,ERR_0F_TEMPERR,4/2/2019 9:41:8,4/2/2019 9:41:56
 ,5957,1,ERR_0F_TEMPERR,4/2/2019 9:41:8,4/2/2019 9:41:55
 ,5955,1,ERR_0F_TEMPERR,4/2/2019 9:41:7,4/2/2019 9:41:55
 ,5952,1,ERR_0F_TEMPERR,4/2/2019 9:41:7,4/2/2019 9:41:55
 ,5951,1,ERR_0F_TEMPERR,4/2/2019 9:41:7,4/2/2019 9:41:54
 ,5950,1,ERR_0F_TEMPERR,4/2/2019 9:41:7,4/2/2019 9:41:54
 ,5949,1,ERR_0F_TEMPERR,4/2/2019 9:41:6,4/2/2019 9:41:54
 ,5948,1,ERR_0F_TEMPERR,4/2/2019 9:41:6,4/2/2019 9:41:53
