NO.,Time,#1 SetValue,#1 RealValue,#2 SetValue,#2 RealValue,#3 SetValue,#3 RealValue,#4 SetValue,#4 RealValue,#5 SetValue,#5 RealValue,#6 SetValue,#6 RealValue,#7 SetValue,#7 RealValue,#8 SetValue,#8 RealValue,#9 SetValue,#9 RealValue
959,04/04/2019 15:03:34,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
960,04/04/2019 15:03:38,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
961,04/04/2019 15:03:42,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
962,04/04/2019 15:03:46,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
963,04/04/2019 15:03:50,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
964,04/04/2019 15:03:54,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
965,04/04/2019 15:03:58,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
966,04/04/2019 15:04:02,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
967,04/04/2019 15:04:06,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
968,04/04/2019 15:04:10,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
969,04/04/2019 15:04:14,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
970,04/04/2019 15:04:18,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
971,04/04/2019 15:04:21,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
972,04/04/2019 15:04:25,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
973,04/04/2019 15:04:29,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
974,04/04/2019 15:04:33,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
975,04/04/2019 15:04:37,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
976,04/04/2019 15:04:41,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
977,04/04/2019 15:04:45,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
978,04/04/2019 15:04:49,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
979,04/04/2019 15:04:53,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
980,04/04/2019 15:04:57,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
981,04/04/2019 15:05:01,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
982,04/04/2019 15:05:05,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
983,04/04/2019 15:05:09,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
984,04/04/2019 15:05:13,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
985,04/04/2019 15:05:17,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
986,04/04/2019 15:05:21,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
987,04/04/2019 15:05:25,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
988,04/04/2019 15:05:29,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
989,04/04/2019 15:05:33,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
990,04/04/2019 15:05:37,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
991,04/04/2019 15:05:41,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
992,04/04/2019 15:05:45,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
993,04/04/2019 15:05:49,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
994,04/04/2019 15:05:53,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
995,04/04/2019 15:05:57,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
996,04/04/2019 15:06:01,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
997,04/04/2019 15:06:05,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
998,04/04/2019 15:06:08,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
999,04/04/2019 15:06:12,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1000,04/04/2019 15:06:16,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1001,04/04/2019 15:06:20,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1002,04/04/2019 15:06:24,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1003,04/04/2019 15:06:28,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1004,04/04/2019 15:06:32,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1005,04/04/2019 15:06:36,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1006,04/04/2019 15:06:40,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1007,04/04/2019 15:06:44,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1008,04/04/2019 15:06:48,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1009,04/04/2019 15:06:52,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1010,04/04/2019 15:06:56,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1011,04/04/2019 15:07:00,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1012,04/04/2019 15:07:04,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1013,04/04/2019 15:07:08,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1014,04/04/2019 15:07:12,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1015,04/04/2019 15:07:16,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1016,04/04/2019 15:07:20,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1017,04/04/2019 15:07:24,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1018,04/04/2019 15:07:28,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1019,04/04/2019 15:07:32,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1020,04/04/2019 15:07:36,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1021,04/04/2019 15:07:40,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1022,04/04/2019 15:07:44,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1023,04/04/2019 15:07:48,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1024,04/04/2019 15:07:52,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1025,04/04/2019 15:07:56,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1026,04/04/2019 15:07:59,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1027,04/04/2019 15:08:03,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1028,04/04/2019 15:08:07,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1029,04/04/2019 15:08:11,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
